timestamp,hour,day_of_week,is_weekend,shift_id,ed_occupancy,ward_occupancy,icu_occupancy,active_nurses,active_doctors,arrivals_count,admissions_count,discharges_count,patients_in_queue,incoming_arrivals_next_4h
2026-01-01 00:00:00,0,Thursday,0,Night,0,0,0,20,5,0,0,0,0,6
2026-01-01 01:00:00,1,Thursday,0,Night,4,0,0,20,5,4,0,0,0,3
2026-01-01 02:00:00,2,Thursday,0,Night,5,0,0,20,5,1,0,0,0,7
2026-01-01 03:00:00,3,Thursday,0,Night,6,0,0,20,5,1,0,0,0,11
2026-01-01 04:00:00,4,Thursday,0,Night,6,1,0,20,5,1,1,1,0,11
2026-01-01 05:00:00,5,Thursday,0,Night,6,1,0,20,5,1,0,1,0,11
2026-01-01 06:00:00,6,Thursday,0,Night,3,1,0,20,5,0,0,3,0,28
2026-01-01 07:00:00,7,Thursday,0,Day,5,2,0,35,10,2,1,0,0,37
2026-01-01 08:00:00,8,Thursday,0,Day,12,2,0,35,10,7,0,0,0,22
2026-01-01 09:00:00,9,Thursday,0,Day,23,3,0,35,10,11,1,0,0,32
2026-01-01 10:00:00,10,Thursday,0,Day,35,5,0,35,10,13,2,1,0,35
2026-01-01 11:00:00,11,Thursday,0,Day,43,6,0,35,10,10,1,2,0,37
2026-01-01 12:00:00,12,Thursday,0,Day,40,8,1,35,10,8,3,11,0,32
2026-01-01 13:00:00,13,Thursday,0,Day,41,9,3,35,10,5,3,4,0,39
2026-01-01 14:00:00,14,Thursday,0,Day,46,10,3,35,10,12,2,7,0,39
2026-01-01 15:00:00,15,Thursday,0,Evening,46,13,5,30,8,5,5,5,0,22
2026-01-01 16:00:00,16,Thursday,0,Evening,48,16,6,30,8,5,5,3,0,35
2026-01-01 17:00:00,17,Thursday,0,Evening,49,16,7,30,8,9,1,8,0,29
2026-01-01 18:00:00,18,Thursday,0,Evening,49,17,9,30,8,3,3,3,0,23
