timestamp,hour,day_of_week,is_weekend,shift_id,ed_occupancy,ward_occupancy,icu_occupancy,active_nurses,active_doctors,arrivals_count,admissions_count,discharges_count,patients_in_queue,incoming_arrivals_next_4h
2026-01-01 00:00:00,0,Thursday,0,Night,4,0,0,20,5,4,0,0,0,10
2026-01-01 01:00:00,1,Thursday,0,Night,7,0,0,20,5,3,0,0,0,9
2026-01-01 02:00:00,2,Thursday,0,Night,10,0,0,20,5,3,0,0,0,9
2026-01-01 03:00:00,3,Thursday,0,Night,12,0,0,20,5,2,0,0,0,11
2026-01-01 04:00:00,4,Thursday,0,Night,14,0,0,20,5,2,0,0,0,14
2026-01-01 05:00:00,5,Thursday,0,Night,16,0,0,20,5,2,0,0,0,17
2026-01-01 06:00:00,6,Thursday,0,Night,18,0,0,20,5,3,0,1,0,19
2026-01-01 07:00:00,7,Thursday,0,Day,19,0,0,35,10,4,0,3,1,21
2026-01-01 08:00:00,8,Thursday,0,Day,21,1,0,35,10,5,1,2,0,22
2026-01-01 09:00:00,9,Thursday,0,Day,26,1,0,35,10,5,0,0,1,23
2026-01-01 10:00:00,10,Thursday,0,Day,29,2,0,35,10,5,1,1,3,25
2026-01-01 11:00:00,11,Thursday,0,Day,31,4,1,35,10,6,3,1,1,27
2026-01-01 12:00:00,12,Thursday,0,Day,35,5,1,35,10,6,1,1,2,29
2026-01-01 13:00:00,13,Thursday,0,Day,37,6,2,35,10,6,2,2,3,31
2026-01-01 14:00:00,14,Thursday,0,Day,41,9,2,35,10,7,3,0,0,31
2026-01-01 15:00:00,15,Thursday,0,Evening,42,9,2,30,8,8,0,7,0,29
2026-01-01 16:00:00,16,Thursday,0,Evening,48,9,2,30,8,8,0,2,3,27
2026-01-01 17:00:00,17,Thursday,0,Evening,49,11,3,30,8,8,3,4,1,24
2026-01-01 18:00:00,18,Thursday,0,Evening,52,11,4,30,8,7,1,3,2,22
2026-01-01 19:00:00,19,Thursday,0,Evening,50,13,4,30,8,6,2,6,3,20
2026-01-01 20:00:00,20,Thursday,0,Evening,50,15,5,30,8,6,3,3,3,18
2026-01-01 21:00:00,21,Thursday,0,Evening,43,16,7,30,8,5,3,9,3,17
2026-01-01 22:00:00,22,Thursday,0,Evening,40,18,8,30,8,5,3,5,0,15
2026-01-01 23:00:00,23,Thursday,0,Night,41,18,8,20,5,4,0,3,2,14
2026-01-02 00:00:00,0,Friday,0,Night,39,20,8,20,5,4,2,4,5,12
2026-01-02 01:00:00,1,Friday,0,Night,34,22,11,20,5,4,5,4,2,11
2026-01-02 02:00:00,2,Friday,0,Night,27,23,12,20,5,3,2,8,1,11
2026-01-02 03:00:00,3,Friday,0,Night,29,23,13,20,5,3,1,0,2,12
2026-01-02 04:00:00,4,Friday,0,Night,26,25,13,20,5,2,2,3,1,15
2026-01-02 05:00:00,5,Friday,0,Night,24,25,14,20,5,3,1,4,2,17
2026-01-02 06:00:00,6,Friday,0,Night,25,27,14,20,5,3,2,0,0,20
2026-01-02 07:00:00,7,Friday,0,Day,28,27,14,35,10,4,0,1,4,22
2026-01-02 08:00:00,8,Friday,0,Day,27,29,16,35,10,5,4,2,2,23
2026-01-02 09:00:00,9,Friday,0,Day,26,30,17,35,10,5,2,4,0,25
2026-01-02 10:00:00,10,Friday,0,Day,31,30,17,35,10,6,0,1,4,27
2026-01-02 11:00:00,11,Friday,0,Day,30,33,18,35,10,6,4,3,0,29
2026-01-02 12:00:00,12,Friday,0,Day,34,33,18,35,10,6,0,2,0,31
2026-01-02 13:00:00,13,Friday,0,Day,38,33,18,35,10,7,0,3,3,32
2026-01-02 14:00:00,14,Friday,0,Day,42,36,18,35,10,8,3,1,0,31
2026-01-02 15:00:00,15,Friday,0,Evening,46,36,18,30,8,8,0,4,2,30
2026-01-02 16:00:00,16,Friday,0,Evening,48,37,17,30,8,8,2,6,1,28
2026-01-02 17:00:00,17,Friday,0,Evening,51,38,17,30,8,8,1,4,2,25
2026-01-02 18:00:00,18,Friday,0,Evening,51,39,18,30,8,7,2,5,0,23
2026-01-02 19:00:00,19,Friday,0,Evening,55,39,18,30,8,7,0,3,1,20
2026-01-02 20:00:00,20,Friday,0,Evening,54,40,18,30,8,6,1,6,2,18
2026-01-02 21:00:00,21,Friday,0,Evening,48,42,18,30,8,5,2,9,2,16
2026-01-02 22:00:00,22,Friday,0,Evening,49,44,18,30,8,5,2,2,5,14
2026-01-02 23:00:00,23,Friday,0,Night,44,48,18,20,5,4,5,5,2,12
2026-01-03 00:00:00,0,Saturday,1,Night,41,50,18,20,5,4,2,5,0,10
2026-01-03 01:00:00,1,Saturday,1,Night,38,50,18,20,5,3,0,6,2,9
2026-01-03 02:00:00,2,Saturday,1,Night,32,51,18,20,5,3,2,8,1,9
2026-01-03 03:00:00,3,Saturday,1,Night,29,52,18,20,5,2,1,4,1,11
2026-01-03 04:00:00,4,Saturday,1,Night,25,53,18,20,5,2,1,5,0,13
2026-01-03 05:00:00,5,Saturday,1,Night,23,53,18,20,5,2,0,4,1,16
2026-01-03 06:00:00,6,Saturday,1,Night,20,54,18,20,5,3,1,5,1,18
2026-01-03 07:00:00,7,Saturday,1,Day,21,55,18,35,10,4,1,2,2,19
2026-01-03 08:00:00,8,Saturday,1,Day,20,57,18,35,10,4,2,3,1,20
2026-01-03 09:00:00,9,Saturday,1,Day,20,57,19,35,10,5,1,4,0,21
2026-01-03 10:00:00,10,Saturday,1,Day,24,57,19,35,10,5,0,1,0,23
2026-01-03 11:00:00,11,Saturday,1,Day,27,57,19,35,10,5,0,2,2,25
2026-01-03 12:00:00,12,Saturday,1,Day,28,58,19,35,10,5,2,3,1,27
2026-01-03 13:00:00,13,Saturday,1,Day,30,59,19,35,10,6,1,3,0,28
2026-01-03 14:00:00,14,Saturday,1,Day,33,57,19,35,10,7,0,6,0,27
2026-01-03 15:00:00,15,Saturday,1,Evening,37,56,19,30,8,7,0,4,3,26
2026-01-03 16:00:00,16,Saturday,1,Evening,37,59,19,30,8,7,3,4,0,24
2026-01-03 17:00:00,17,Saturday,1,Evening,42,59,18,30,8,7,0,3,3,22
2026-01-03 18:00:00,18,Saturday,1,Evening,41,61,19,30,8,6,3,4,3,20
2026-01-03 19:00:00,19,Saturday,1,Evening,42,64,19,30,8,6,3,2,2,18
2026-01-03 20:00:00,20,Saturday,1,Evening,41,65,20,30,8,5,2,4,0,16
2026-01-03 21:00:00,21,Saturday,1,Evening,44,65,20,30,8,5,0,2,6,14
2026-01-03 22:00:00,22,Saturday,1,Evening,38,70,19,30,8,4,6,6,3,13
2026-01-03 23:00:00,23,Saturday,1,Night,36,71,18,20,5,4,3,6,3,11
2026-01-04 00:00:00,0,Sunday,1,Night,31,73,19,20,5,3,3,5,1,10
2026-01-04 01:00:00,1,Sunday,1,Night,30,73,19,20,5,3,1,4,2,9
2026-01-04 02:00:00,2,Sunday,1,Night,28,75,19,20,5,3,2,3,1,9
2026-01-04 03:00:00,3,Sunday,1,Night,26,76,18,20,5,2,1,4,2,10
2026-01-04 04:00:00,4,Sunday,1,Night,23,78,16,20,5,2,2,5,0,12
2026-01-04 05:00:00,5,Sunday,1,Night,24,77,15,20,5,2,0,3,3,14
2026-01-04 06:00:00,6,Sunday,1,Night,24,79,15,20,5,3,3,1,1,16
2026-01-04 07:00:00,7,Sunday,1,Day,21,79,15,35,10,3,1,6,1,18
2026-01-04 08:00:00,8,Sunday,1,Day,20,80,15,35,10,4,1,4,0,19
2026-01-04 09:00:00,9,Sunday,1,Day,20,80,15,35,10,4,0,4,0,21
2026-01-04 10:00:00,10,Sunday,1,Day,25,78,15,35,10,5,0,2,1,22
2026-01-04 11:00:00,11,Sunday,1,Day,28,79,15,35,10,5,1,1,2,24
2026-01-04 12:00:00,12,Sunday,1,Day,28,79,16,35,10,5,2,4,2,26
2026-01-04 13:00:00,13,Sunday,1,Day,30,79,17,35,10,6,2,3,1,27
2026-01-04 14:00:00,14,Sunday,1,Day,32,79,17,35,10,6,1,4,1,27
2026-01-04 15:00:00,15,Sunday,1,Evening,38,80,17,30,8,7,1,0,1,25
2026-01-04 16:00:00,16,Sunday,1,Evening,41,80,17,30,8,7,1,4,1,23
2026-01-04 17:00:00,17,Sunday,1,Evening,43,80,16,30,8,7,1,6,3,20
2026-01-04 18:00:00,18,Sunday,1,Evening,45,83,16,30,8,6,3,1,2,18
2026-01-04 19:00:00,19,Sunday,1,Evening,45,84,16,30,8,5,2,4,1,17
2026-01-04 20:00:00,20,Sunday,1,Evening,42,84,16,30,8,5,1,8,1,16
2026-01-04 21:00:00,21,Sunday,1,Evening,36,84,16,30,8,4,1,10,1,16
2026-01-04 22:00:00,22,Sunday,1,Evening,38,85,15,30,8,4,1,2,3,15
2026-01-04 23:00:00,23,Sunday,1,Night,35,87,15,20,5,4,3,5,1,14
2026-01-05 00:00:00,0,Monday,0,Night,33,87,15,20,5,4,1,6,1,12
2026-01-05 01:00:00,1,Monday,0,Night,31,88,14,20,5,4,1,6,0,11
2026-01-05 02:00:00,2,Monday,0,Night,30,88,12,20,5,3,0,6,1,11
2026-01-05 03:00:00,3,Monday,0,Night,30,88,13,20,5,3,1,2,1,12
2026-01-05 04:00:00,4,Monday,0,Night,24,85,13,20,5,2,1,11,0,15
2026-01-05 05:00:00,5,Monday,0,Night,23,84,13,20,5,3,0,5,1,18
2026-01-05 06:00:00,6,Monday,0,Night,23,85,13,20,5,3,1,2,0,21
2026-01-05 07:00:00,7,Monday,0,Day,24,84,13,35,10,4,0,4,2,23
2026-01-05 08:00:00,8,Monday,0,Day,24,85,13,35,10,5,2,4,0,24
2026-01-05 09:00:00,9,Monday,0,Day,27,83,13,35,10,6,0,5,1,25
2026-01-05 10:00:00,10,Monday,0,Day,30,83,13,35,10,6,1,3,0,27
2026-01-05 11:00:00,11,Monday,0,Day,33,82,13,35,10,6,0,4,0,29
2026-01-05 12:00:00,12,Monday,0,Day,39,80,12,35,10,6,0,3,0,31
2026-01-05 13:00:00,13,Monday,0,Day,44,79,11,35,10,7,0,4,2,32
2026-01-05 14:00:00,14,Monday,0,Day,46,80,12,35,10,8,2,4,2,31
2026-01-05 15:00:00,15,Monday,0,Evening,50,82,11,30,8,8,2,3,1,30
2026-01-05 16:00:00,16,Monday,0,Evening,48,83,11,30,8,8,1,9,3,28
2026-01-05 17:00:00,17,Monday,0,Evening,52,85,10,30,8,8,3,3,3,26
2026-01-05 18:00:00,18,Monday,0,Evening,50,87,10,30,8,7,3,7,0,24
2026-01-05 19:00:00,19,Monday,0,Evening,53,85,10,30,8,7,0,6,2,21
2026-01-05 20:00:00,20,Monday,0,Evening,55,85,10,30,8,6,2,4,0,19
2026-01-05 21:00:00,21,Monday,0,Evening,54,85,10,30,8,6,0,7,0,17
2026-01-05 22:00:00,22,Monday,0,Evening,49,83,10,30,8,5,0,12,2,15
2026-01-05 23:00:00,23,Monday,0,Night,43,85,10,20,5,4,2,8,0,13
2026-01-06 00:00:00,0,Tuesday,0,Night,43,85,10,20,5,4,0,4,3,11
2026-01-06 01:00:00,1,Tuesday,0,Night,37,87,10,20,5,4,3,8,2,9
2026-01-06 02:00:00,2,Tuesday,0,Night,33,89,10,20,5,3,2,5,1,9
2026-01-06 03:00:00,3,Tuesday,0,Night,30,89,10,20,5,2,1,5,1,11
2026-01-06 04:00:00,4,Tuesday,0,Night,27,90,10,20,5,2,1,4,2,14
2026-01-06 05:00:00,5,Tuesday,0,Night,26,89,10,20,5,2,2,4,2,17
2026-01-06 06:00:00,6,Tuesday,0,Night,23,90,10,20,5,3,2,5,4,20
2026-01-06 07:00:00,7,Tuesday,0,Day,17,93,11,35,10,4,4,6,1,22
2026-01-06 08:00:00,8,Tuesday,0,Day,19,93,12,35,10,5,1,2,1,23
2026-01-06 09:00:00,9,Tuesday,0,Day,22,93,12,35,10,5,1,2,0,25
2026-01-06 10:00:00,10,Tuesday,0,Day,28,93,12,35,10,6,0,0,1,26
2026-01-06 11:00:00,11,Tuesday,0,Day,30,91,12,35,10,6,1,6,1,28
2026-01-06 12:00:00,12,Tuesday,0,Day,34,90,12,35,10,6,1,3,1,30
2026-01-06 13:00:00,13,Tuesday,0,Day,38,87,13,35,10,7,1,5,1,31
2026-01-06 14:00:00,14,Tuesday,0,Day,39,87,13,35,10,7,1,6,0,31
2026-01-06 15:00:00,15,Tuesday,0,Evening,42,85,13,30,8,8,0,7,1,29
2026-01-06 16:00:00,16,Tuesday,0,Evening,46,86,13,30,8,8,1,3,2,27
2026-01-06 17:00:00,17,Tuesday,0,Evening,48,87,14,30,8,8,2,4,2,24
2026-01-06 18:00:00,18,Tuesday,0,Evening,48,88,14,30,8,7,2,6,2,22
2026-01-06 19:00:00,19,Tuesday,0,Evening,49,89,14,30,8,6,2,4,2,20
2026-01-06 20:00:00,20,Tuesday,0,Evening,48,89,15,30,8,6,2,6,2,18
2026-01-06 21:00:00,21,Tuesday,0,Evening,44,91,15,30,8,5,2,7,6,17
2026-01-06 22:00:00,22,Tuesday,0,Evening,40,95,15,30,8,5,6,5,0,15
2026-01-06 23:00:00,23,Tuesday,0,Night,39,95,15,20,5,4,0,5,2,13
2026-01-07 00:00:00,0,Wednesday,0,Night,38,96,14,20,5,4,2,5,2,11
2026-01-07 01:00:00,1,Wednesday,0,Night,33,98,14,20,5,4,2,7,1,10
2026-01-07 02:00:00,2,Wednesday,0,Night,31,98,13,20,5,3,1,6,1,10
2026-01-07 03:00:00,3,Wednesday,0,Night,30,99,13,20,5,2,1,2,2,12
2026-01-07 04:00:00,4,Wednesday,0,Night,24,97,13,20,5,2,2,10,0,15
2026-01-07 05:00:00,5,Wednesday,0,Night,25,96,13,20,5,3,0,3,1,17
2026-01-07 06:00:00,6,Wednesday,0,Night,22,97,13,20,5,3,1,5,2,20
2026-01-07 07:00:00,7,Wednesday,0,Day,23,98,12,35,10,4,2,3,1,22
2026-01-07 08:00:00,8,Wednesday,0,Day,25,97,13,35,10,5,1,3,1,23
2026-01-07 09:00:00,9,Wednesday,0,Day,27,97,13,35,10,5,1,3,4,25
2026-01-07 10:00:00,10,Wednesday,0,Day,27,100,13,35,10,6,4,3,2,26
2026-01-07 11:00:00,11,Wednesday,0,Day,31,100,13,35,10,6,2,2,1,28
2026-01-07 12:00:00,12,Wednesday,0,Day,35,100,13,35,10,6,1,2,1,30
2026-01-07 13:00:00,13,Wednesday,0,Day,39,99,12,35,10,7,1,5,0,31
2026-01-07 14:00:00,14,Wednesday,0,Day,42,98,12,35,10,7,0,5,1,31
2026-01-07 15:00:00,15,Wednesday,0,Evening,44,98,12,30,8,8,1,6,1,29
2026-01-07 16:00:00,16,Wednesday,0,Evening,46,98,12,30,8,8,1,6,2,27
2026-01-07 17:00:00,17,Wednesday,0,Evening,50,98,12,30,8,8,2,4,0,24
2026-01-07 18:00:00,18,Wednesday,0,Evening,51,98,12,30,8,7,0,6,1,22
2026-01-07 19:00:00,19,Wednesday,0,Evening,49,95,12,30,8,6,1,11,2,20
2026-01-07 20:00:00,20,Wednesday,0,Evening,48,94,12,30,8,6,2,8,5,18
2026-01-07 21:00:00,21,Wednesday,0,Evening,41,96,14,30,8,5,5,8,1,17
2026-01-07 22:00:00,22,Wednesday,0,Evening,39,94,14,30,8,5,1,9,3,15
2026-01-07 23:00:00,23,Wednesday,0,Night,34,97,14,20,5,4,3,6,1,14
2026-01-08 00:00:00,0,Thursday,0,Night,34,96,14,20,5,4,1,5,0,12
2026-01-08 01:00:00,1,Thursday,0,Night,34,96,14,20,5,4,0,4,1,11
2026-01-08 02:00:00,2,Thursday,0,Night,31,97,14,20,5,3,1,5,2,11
2026-01-08 03:00:00,3,Thursday,0,Night,26,98,14,20,5,3,2,7,3,12
2026-01-08 04:00:00,4,Thursday,0,Night,21,100,14,20,5,2,3,5,2,15
